duration,mode_of_transport,vehicles
513,bus,76
494,bus,94
491,bus,97
475,bus,96
473,bus,99
471,bus,93
458,bus,99
450,bus,98
440,bus,97
438,bus,91
434,bus,91
432,bus,99
427,bus,95
423,bus,97
423,bus,99
422,bus,91
420,bus,97
419,bus,92
416,bus,100
411,bus,100
407,bus,100
401,bus,97
392,bus,90
384,bus,95
383,bus,98
382,bus,98
381,bus,92
379,bus,94
378,bus,100
378,bus,98
373,bus,99
368,bus,99
362,bus,90
361,bus,92
359,bus,99
355,bus,97
353,bus,100
351,bus,92
351,bus,99
350,bus,95
350,bus,91
349,bus,91
345,bus,95
342,bus,97
333,bus,96
332,bus,97
332,bus,96
330,bus,96
330,bus,94
328,bus,91
323,bus,93
322,bus,96
321,bus,98
318,bus,99
318,bus,96
318,bus,97
317,bus,100
317,bus,95
317,bus,97
315,bus,95
315,bus,100
314,bus,90
314,bus,99
313,bus,93
312,bus,90
312,bus,93
309,bus,100
307,bus,99
306,bus,98
306,bus,100
305,bus,97
304,bus,93
304,bus,95
304,bus,95
302,bus,99
302,bus,91
300,bus,90
299,bus,100
298,bus,97
298,bus,96
297,bus,99
297,bus,91
297,bus,91
296,bus,95
296,bus,100
295,bus,96
294,bus,100
294,bus,92
294,bus,91
294,bus,92
292,bus,96
291,bus,92
291,bus,97
291,bus,91
291,bus,100
290,bus,91
289,bus,100
289,bus,94
288,bus,97
288,bus,95
288,bus,98
287,bus,92
285,bus,93
283,bus,93
283,bus,93
282,bus,90
281,bus,99
281,bus,96
281,bus,95
278,bus,94
276,bus,100
274,bus,96
274,bus,92
273,bus,90
272,bus,90
271,bus,93
270,bus,96
270,bus,97
269,bus,97
269,bus,94
268,bus,97
268,bus,96
267,bus,94
267,bus,97
267,bus,99
266,bus,92
265,bus,91
265,bus,94
265,bus,95
263,bus,95
263,bus,99
263,bus,91
261,bus,90
261,bus,98
260,bus,92
259,bus,94
259,bus,91
258,bus,98
258,bus,91
258,bus,98
257,bus,93
256,bus,98
255,bus,95
255,bus,95
255,bus,95
255,bus,90
253,bus,99
253,bus,93
252,bus,96
252,bus,91
252,bus,91
251,bus,90
251,bus,98
250,bus,91
248,bus,100
247,bus,92
247,bus,90
247,bus,95
247,bus,98
247,bus,93
246,bus,94
243,bus,93
243,bus,93
242,bus,100
241,bus,92
241,bus,90
241,bus,99
240,bus,95
238,bus,100
237,bus,91
237,bus,97
237,bus,95
237,bus,96
236,bus,99
236,bus,92
236,bus,99
236,bus,94
236,bus,91
236,bus,93
236,bus,100
233,bus,96
233,bus,91
232,bus,91
231,bus,92
231,bus,99
230,bus,94
230,bus,98
229,bus,95
229,bus,96
227,bus,94
227,bus,97
226,bus,100
226,bus,98
225,bus,93
224,bus,95
224,bus,91
224,bus,97
223,bus,97
223,bus,94
222,bus,91
221,bus,94
220,bus,95
220,bus,95
218,bus,94
216,bus,97
215,bus,94
215,bus,96
215,bus,97
215,bus,93
214,bus,97
214,bus,91
214,bus,97
212,bus,96
211,bus,96
210,bus,98
209,bus,99
209,bus,98
208,bus,93
208,bus,92
208,bus,96
207,bus,93
207,bus,95
207,bus,96
207,bus,90
206,bus,91
204,bus,91
204,bus,93
203,bus,94
202,bus,91
201,bus,91
199,bus,93
198,bus,91
197,bus,97
197,bus,95
197,bus,99
196,bus,92
195,bus,91
194,bus,91
193,bus,98
193,bus,100
192,bus,90
192,bus,97
191,bus,95
190,bus,93
190,bus,99
190,bus,94
189,bus,96
188,bus,98
188,bus,91
188,bus,94
187,bus,95
186,bus,90
186,bus,96
186,bus,94
185,bus,99
184,bus,95
184,bus,93
180,bus,90
180,bus,99
180,bus,96
180,bus,94
178,bus,97
178,bus,95
178,bus,100
176,bus,91
176,bus,92
176,bus,95
175,bus,95
174,car,56
173,car,60
173,car,64
172,car,53
171,car,48
170,car,56
170,car,61
170,car,55
169,car,56
169,car,62
169,car,57
169,car,46
168,car,51
168,car,52
168,car,52
168,car,48
165,car,64
165,car,52
165,car,50
164,car,65
164,car,45
163,car,59
163,car,62
163,car,61
163,car,53
162,car,65
162,car,62
160,car,45
160,car,63
160,car,48
159,car,64
158,car,47
158,car,51
158,car,46
158,car,60
157,car,61
157,car,49
156,car,65
156,car,51
156,car,61
156,car,55
156,car,49
156,car,51
153,car,61
153,car,63
153,car,53
152,car,45
152,car,59
152,car,65
151,car,53
151,car,58
151,car,63
150,car,50
150,car,63
149,car,47
149,car,46
148,car,65
147,car,58
147,car,47
147,car,45
147,car,55
146,car,64
144,car,49
143,car,45
143,car,52
143,car,57
143,car,60
143,car,58
142,car,62
142,car,46
141,car,47
140,car,49
140,car,59
140,car,46
139,car,46
137,car,62
136,car,58
136,car,62
136,car,59
135,car,63
134,car,58
133,car,48
133,car,64
132,car,52
131,car,58
129,car,49
129,car,58
128,car,51
127,car,47
127,car,56
126,car,58
126,car,57
126,car,49
126,car,64
126,car,52
125,car,51
125,car,50
125,car,47
125,car,47
124,car,58
124,car,46
124,car,62
124,car,48
124,car,52
123,car,60
123,car,49
122,car,56
122,car,50
121,car,58
120,car,56
120,car,61
119,car,51
118,car,58
117,car,62
115,car,58
115,car,51
